ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment
German-31_brunnon-1,,German,31_brunnon,Brunnen,brʊnən,b r ʊ n ə n,,,44,,,,b r ʊ n ( ə n )
Dutch-31_brunnon-1,,Dutch,31_brunnon,bron,brɔn,b r ɔ n,,,44,,,,b r ɔ n ( - - )
ProtoGermanic-82_fextanan-1,,ProtoGermanic,82_fextanan,*fextanan,fextanan,f e x t a n a n,,,45,,,,f e x t a n ( a n )
German-82_fextanan-1,,German,82_fextanan,fechten,fɛxtən,f ɛ x t ə n,,,45,,,,f ɛ x t ə n ( - - )
English-82_fextanan-1,,English,82_fextanan,fight,faɪt,f aɪ t,,,45,,,,f aɪ - t - - ( - - )
Dutch-82_fextanan-1,,Dutch,82_fextanan,vechten,vɛxtə,v ɛ x t ə,,,45,,,,v ɛ x t ə - ( - - )
ProtoGermanic-395_wakjanan-1,,ProtoGermanic,395_wakjanan,*wakjanan,wakjanan,w a k j a n a n,,,46,,,,w a k j a n ( a n )
German-395_wakjanan-1,,German,395_wakjanan,wecken,vɛkən,v ɛ k ə n,,,46,,,,v ɛ k - ə n ( - - )
Dutch-395_wakjanan-1,,Dutch,395_wakjanan,wekken,ʋɛkə,ʋ ɛ k ə,,,46,,,,ʋ ɛ k - ə - ( - - )
ProtoGermanic-257_ridanan-1,,ProtoGermanic,257_ridanan,*rīdanan,riːdanan,r iː d a n a n,,,47,,,,r iː d a n ( a n )
German-257_ridanan-1,,German,257_ridanan,reiten,raitən,r ai t ə n,,,47,,,,r ai t ə n ( - - )
English-257_ridanan-1,,English,257_ridanan,ride,raɪd,r aɪ d,,,47,,,,r aɪ d - - ( - - )
Dutch-257_ridanan-1,,Dutch,257_ridanan,rijden,rɛɪdə,r ɛɪ d ə,,,47,,,,r ɛɪ d ə - ( - - )
ProtoGermanic-479_xito-1,,ProtoGermanic,479_xito,*xitō,xitoː,x i t oː,,,48,,,,x i t j oː
German-479_xito-1,,German,479_xito,Hitze,hɪt͡sə,h ɪ ts ə,,,48,,,,h ɪ ts - ə
Dutch-479_xito-1,,Dutch,479_xito,hitte,hɪtə,h ɪ t ə,,,48,,,,h ɪ t - ə
ProtoGermanic-213_mosan-1,,ProtoGermanic,213_mosan,*mōsan,moːsan,m oː s a n,,,49,,,,m oː s ( a n )
German-213_mosan-1,,German,213_mosan,Mus,muːs,m uː s,,,49,,,,m uː s ( - - )
Dutch-213_mosan-1,,Dutch,213_mosan,moes,muːs,m uː s,,,49,,,,m uː s ( - - )
